subject,regex,exclusions,bodhi_translation,regex_notes
acquisition,acquisition,,,
deed,\\bdeed\\b,mn110,action,
old age,(old age|grow old),,ageing,
aggregates,aggregates,,,
agitation,agitation,,,
air,(?<!(open|checkers in the|heat and|into the|float on the|cross-legged in the|standing in the|tossed up in the) )\\bair\\b,,,
Ājīvaka,\\u0100j\\u012bvaka,,,
almsfood,almsfood,,,
rejoicing,rejoicing,,,
anger,\\bang(er|ry)\\b,,,
animal realm,animal realm,,,
annihilationism,annihilation,,,
placing the mind,placing the mind,,applied thought,
preference,preference,,approval,
perfected one,perfected one,,arahant,
arrogance,arrogance,,,
assembly,(congregation|assembly|assemblies),,,Including 'congregation' as well
attained to view,attained to view,,,
personal witness,personal witness,,body witness,
freed by wisdom,freed by wisdom,,,
freed by faith,freed by faith,,,
avarice,avarice,,,
aversion,aversion,,,
bad character,bad character,,,
beauty,beauty,,,
sentient being,sentient being,,,
monk,\\bmonk,,,
nun,\\bnun,,,
mendicant,mendicant,,,
birth,\\bbirth,,,
rebirth,rebirth,,,
blemish,blemish,,,
bliss,bliss,,,
body,body,,,
brahmin,brahmin,,,
buddha,buddha,,,
caste,\\bcaste,,,
rain forecaster,forecaster,,,
celibacy,celibacy,,,
cessation,cessation,,,
cessation of perception and feeling,cessation of perception and feeling,,,
charnel ground,charnel ground,,,
clinging,clinging,,,
cognize,cognize,,,
compassion,compassion,,,
conceit,\\bconceit,,,
conceive,\\bconceiv,,,
immersion,(immersion|sam\\Xdhi),,concentration,
misconception,misconception,,,
harmony,harmony,,concord,
conduct,conduct,,,
confess,confess,,,
confidence,confidence,,,
conflict,conflict,,,
disciplinary issue,disciplinary issue,,,
discipline,disciplined?,,,
consciousness,(?<!infinite )consciousness,,,
contact,contact,,,
contempt,contempt,,,
content,\\bcontent,,,
conversion magic,conversion magic,,,
warm-hearted qualities,warm-hearted qualities,,,
treasure,treasure,,,
covering with grass,covering over with grass,,,
covetous,covetous,,,
craving,craving,,,
cruel,cruel,,,
death,death(?!(less|bed)),,,
deathless,deathless,,,
deathbed,deathbed,,,
deceit,deceit,,,
radiance,radiance,,,
defilement,defilement,,,
gods,\\bgods?\\b,,,
delusion,delusion,,,
dependent origination,dependent origination,,,
desire,(?<!sensual )desire(?!less),,,
desireless,desireless,,,
despair,despair,,,
destination,destination,,,
dhamma,dhamma,,,
followers by faith,followers by faith,,,
followers of principles,followers of principles,,,
diligence,diligen(ce|t),,,
direct knowledge,direct knowledge,,,
trainee,trainee,,disciple in higher training,
discontent,discontent,,,
disillusion,disillusion,,disenchantment,
dispassion,dispassion,,,
dispensation,dispensation,,,
dispute,disput,,,
diversity,diversity,,,
divine meditations,divine meditations?,,divine abodes,
clairaudience,clairaudience,,divine ear,
claivoyance,clairvoyance,,divine eye,
messengers of the gods,messengers? of the gods,,divine messengers,
doubt,doubt,,,
earth,(?<!(how on|what on) )earth(?!(quake)),,,
earthquake,earthquake,,,
eating,\\beat(s|en|ing)?\\b,,,
verbal flip-flops,verbal flip-flop,,,
effacement,effacement,,,
sex,sex\\b,,,
right effort,right effort,,,
elated,elated,,,
elements,elements?,,,
endure,\\bendur(ed?|ance|ing),,,
energy,energy,,,
enlightenment,awaken|enlighten,,,
awakening factors,awakening factor,,,
enthusiasm,enthusiasm,,,
envy,\\benv(y|ious),,,
equanimity,equanim(ity|ous),,,
eternalism,eternalism,,,
Mara,Mara,,,
evil wishes,evil wishes,,,
exalted deliverance of mind,exalted deliverance of mind,,,
expressions,expressions,,,
extinguishment,extinguishment,,,
extolling and disparaging,extolling and disparaging,,,
sense faculties,sense faculties,,,
spiritual faculties,spiritual faculties,,,
fading away,fading away,,,
faith,faith,,,
faith follower,faith follower,,,
false speech,false speech,,,
fear,fear,,,
fear of wrongdoing,fear of wrongdoing,,,
feeling,feeling,,,
fetters,fetters,,,
final knowledge,final knowledge,,,
fire element,fire element,,,
fool,fool,,,
forest dwelling,forest dwelling,,,
formations,formations,,,
foulness,foulness,,,
foundations,foundations,,,
bases of mindfulness,bases of mindfulness,,,
four great kings,four great kings,,,
four noble truths,four noble truths,,,
fraud,fraud,,,
fruition attainment,fruition attainment,,,
full admission,full admission,,,
full awareness,full awareness,,,
full understanding,full understanding,,,
gain and honor,gain and honor,,,
generation,generation,,,
generosity,generosity,,,
ghosts,ghosts,,,
giving,giving,,,
gladness,gladness,,,
goal,goal,,,
gods,gods,,,
going forth,going forth,,,
good qualities,good qualities,,,
gossip,gossip,,,
gradual training,gradual training,,,
gods of great fruit,gods of great fruit,,,
great man,great man,,,
greed,greed,,,
grief,grief,,,
habits,habits,,,
harsh speech,harsh speech,,,
hate,hate,,,
health,health,,,
heard,heard,,,
heat,heat,,,
heaven,heaven,,,
hell,hell,,,
high birth,high birth,,,
hindrances,hindrances,,,
holy life,holy life,,,
honesty,honesty,,,
household life,household life,,,
identity,identity,,,
ignorance,ignorance,,,
ill will,ill will,,,
I making,I making,,,
immaterial realms,immaterial realms,,,
immeasurable deliverance of mind,immeasurable deliverance of mind,,,
gods of immeasurable radiance,gods of immeasurable radiance,,,
imperfections,imperfections,,,
impermanence,impermanence,,,
imperturbable,imperturbable,,,
impossibilities,impossibilities,,,
inattention,inattention,,,
inclination of mind,inclination of mind,,,
individuality,individuality,,,
inertia,inertia,,,
dimension of infinite consciousness,dimension of infinite consciousness,,,
dimension of infinite space,dimension of infinite space,,,
influence,influence,,,
insanity,insanity,,,
insight,insight,,,
insolence,insolence,,,
inspiration,\\binspir,,,
intention,intention,,,
investigation of states,investigation of states,,,
Jain,Jain,,,
jewel treaure,jewel treaure,,,
absorption,absorption,,,
joy,joy,,,
kasina,kasina,,,
killing,killing,,,
knowledge and vision,knowledge and vision,,,
knowledge of destruction of taints,knowledge of destruction of taints,,,
lamentation,lamentation,,,
lay followers,lay followers,,,
learning,learning,,,
liberated by faith,liberated by faith,,,
liberated by wisdon,liberated by wisdon,,,
liberated in both ways,liberated in both ways,,,
liberation,liberation,,,
gods of limited radiance,gods of limited radiance,,,
lions roar,lions roar,,,
litigation,litigation,,,
livelihood,livelihood,,,
long life,long life,,,
love,love,,,
low birth,low birth,,,
lust,lust,,,
majority opinion,majority opinion,,,
malicious speech,malicious speech,,,
material form,material form,,,
meditation,meditation,,,
memory,memory,,,
mental exploration,mental exploration,,,
mentality,mentality,,,
name and form,name and form,,,
middle way,middle way,,,
mind,mind,,,
mindfulness,mindfulness,,,
mind made body,mind made body,,,
mind objects,mind objects,,,
naga serpent,naga serpent,,,
negligence,negligence,,,
neither perception nor non perception,neither perception nor non perception,,,
nibbana,nibbana,,,
niganthas,niganthas,,,
nihilism,nihilism,,,
noble disciple,noble disciple,,,
noble eightfold path,noble eightfold path,,,
noble one,noble one,,,
noble ones disciple,noble ones disciple,,,
noble silence,noble silence,,,
non-causality doctrine,non-causality doctrine,,,
non-cruelty,non-cruelty,,,
non-doing doctrine,non-doing doctrine,,,
non-identification,non-identification,,,
non-ill will,non-ill will,,,
non-perception,non-perception,,,
non-returner,non-returner,,,
dimension of nothingness,dimension of nothingness,,,
not self,not self,,,
nutriment,nutriment,,,
obstinacy,obstinacy,,,
offence,offence,,,
omniscience,omniscience,,,
once-returner,once-returner,,,
one beyond training,one beyond training,,,
oral tradition,oral tradition,,,
ordinary person,ordinary person,,,
origin,origin,,,
overestimation,overestimation,,,
overlord,overlord,,,
paccekabuddha,paccekabuddha,,,
pain,pain,,,
patimokkha,patimokkha,,,
pavarana,pavarana,,,
peace,peace,,,
perception,perception,,,
persons,persons,,,
perturbable,perturbable,,,
pleasure,pleasure,,,
positions of beings,positions of beings,,,
possibilities,possibilities,,,
postures,postures,,,
poverty,poverty,,,
powers,powers,,,
proliferation,proliferation,,,
pupils undoing,pupils undoing,,,
pure abodes,pure abodes,,,
gods of pure radiance,gods of pure radiance,,,
purification,purification,,,
rapture,rapture,,,
reappearance,reappearance,,,
reasoning,reasoning,,,
recluse,recluse,,,
recluses and brahmins,recluses and brahmins,,,
recollection of past lives,recollection of past lives,,,
going for refuge,going for refuge,,,
gods of refulgent glory,gods of refulgent glory,,,
relinquishment,relinquishment,,,
renunciation,renunciation,,,
resentment,resentment,,,
resting place,resting place,,,
restlessness and remorse,restlessness and remorse,,,
restraint,restraint,,,
rivalry,rivalry,,,
robe,robe,,,
root,root,,,
round of births,round of births,,,
precepts and observances,precepts and observances,,,
samsara,samsara,,,
sangha,sangha,,,
scrutiny,scrutiny,,,
search,search,,,
seats,seats,,,
seclusion,seclusion,,,
security from bondage,security from bondage,,,
seeing,seeing,,,
seen,seen,,,
self,self,,,
self mortification,self mortification,,,
sensed,sensed,,,
sensual desire,sensual desire,,,
sensual pleasure,sensual pleasure,,,
serenity,serenity,,,
service,service,,,
doctrine of seven bodies,doctrine of seven bodies,,,
shackles in heart,shackles in heart,,,
shame,shame,,,
sharing,sharing,,,
short life,short life,,,
sickliness,sickliness,,,
sign,sign,,,
signless concentration,signless concentration,,,
sixfold base,sixfold base,,,
sloth and torpor,sloth and torpor,,,
sorrow,sorrow,,,
space element,space element,,,
speech,speech,,,
bases for spiritual power,bases for spiritual power,,,
stream enterer,stream enterer,,,
gods of streaming radiance,gods of streaming radiance,,,
striving,striving,,,
stupidity,stupidity,,,
success,success,,,
suffering,suffering,,,
suicide,suicide,,,
superhuman states,superhuman states,,,
supernormal power,supernormal power,,,
sustained thought,sustained thought,,,
taints,taints,,,
taking what is not given,taking what is not given,,,
pointless talk,pointless talk,,,
tathagatha,tathagatha,,,
teachers undoing,teachers undoing,,,
gods of the thirty three,gods of the thirty three,,,
thought,thought,,,
titans,titans,,,
tortures,tortures,,,
tranquillity,tranquillity,,,
bases ofor transcendence,bases ofor transcendence,,,
true knowledge,true knowledge,,,
true man,true man,,,
truth,truth,,,
tusita heaven,tusita heaven,,,
ugliness,ugliness,,,
underlying tendencies,underlying tendencies,,,
understanding others minds,understanding others minds,,,
unity,unity,,,
untrue man,untrue man,,,
unwholesome,unwholesome,,,
unwise attention,unwise attention,,,
uposatha,uposatha,,,
urgency,urgency,,,
vanity,vanity,,,
vedas,vedas,,,
right view,right view,,,
views,views,,,
virtue,virtue,,,
vitality,vitality,,,
voidness,voidness,,,
wakefulness,wakefulness,,,
wanderers,wanderers,,,
water element,water element,,,
wealth,wealth,,,
wheel turning monarch,wheel turning monarch,,,
wholesome,wholesome,,,
gods who wield power over others creations,gods who wield power over others creations,,,
wilderness in heart,wilderness in heart,,,
wisdom,wisdom,,,
wise attention,wise attention,,,
wise man,wise man,,,
women,women,,,
wrong eightfold path,wrong eightfold path,,,
yama gods,yama gods,,,
zeal,zeal,,,
